V1	V2
3.757	10.122
2.58	5.532
-0.424	-12.152
-0.499	-1.617
-1.705	-1.387
1.356	7.783
0.461	3.328
0.937	4.786
1.329	0.376
0.502	-6.05
2.354	6.886
0.225	-3.768
1.059	2.59
-0.226	-6.142
-2.649	-4.983
3.272	7.561
4.718	18.219
3.039	7.398
0.612	6.96
-1.225	-11.993
-0.023	-9.82
-2.174	-6.855
3.924	8.557
-1.851	-11.723
1.885	-3.17
0.031	4.006
1.033	10.629
-0.554	1.607
-2.009	-8.813
1.016	-7.484
1.369	7.346
2.885	11.298
3.283	7.401
2.208	7.034
-0.909	1.126
0.672	0.76
-0.956	-0.505
5.122	22.052
-0.828	-10.863
0.157	-10.77
-0.031	-5.887
3.388	0.628
-1.577	-13.651
-2.162	-6.732
2.659	13.618
0.415	4.565
2.062	0.658
0.754	6.946
-0.967	2.549
3.032	8.004
3.396	6.428
2.598	9.069
-0.232	6.421
2.354	12.794
3.168	7.758
0.751	-9.38
-1.221	-9.954
-0.229	-6.42
2.608	13.95
3.82	10.38
-0.521	1.611
-0.588	-6.358
2.332	5.291
5.014	13.766
-0.098	-6.471
-1.301	-5.591
-1.843	-12.379
1.256	8.853
-2.068	-10.353
0.636	8.847
2.567	7.439
0.451	12.404
1.142	4.925
2.085	11.491
-2.923	-10.587
-4.445	-18.467
-1.609	3.755
3.555	8.67
-0.505	-3.782
-1.797	-13.9
-1.989	-7.212
1.813	0.853
2.386	-6.102
-1.561	-1.936
2.877	-0.542
3.701	7.269
-1.5	-12.675
0.872	2.369
3.65	8.352
0.361	-8.514
0.707	-3.356
0.349	-3.831
2.066	-0.441
-0.236	-5.954
3.19	9.322
1.042	-3.391
-1.697	-8.555
1.768	-9.7
3.242	8.545
2.758	2.592
-0.134	-1.334
-0.749	-9.506
1.944	-5.1
-4.356	-10.616
-1.171	-3.591
0.7	-1.953
0.618	6.093
-1.818	-5.005
0.852	-5.125
1.957	-1.043
-1.326	-9.855
4.456	7.403
0.195	2.882
-1.37	-3.449
1.349	-0.845
2.696	13.499
-1.96	-20.016
0.885	-2.067
-3.023	-21.914
1.243	3.797
-1.828	-11.817
3.574	3.127
-6.914	-20.11
2.712	0.692
5.086	19.937
3.498	19.906
-0.4	-7.081
3.816	11.771
-1.273	-2.416
-1.649	-14.464
-2.146	-12.341
0.198	-12.471
1.315	-0.04
1.068	-6.37
3.58	10.699
-1.658	-19.003
4.073	13.522
-0.302	-1.508
-3.583	-5.746
0.775	-1.254
1.202	1.125
-0.326	-2.815
2.68	15.854
0.734	6.136
-3.883	-16.708
-0.591	-3.005
1.045	-10.678
5.603	11.132
1.174	0.365
2.189	6.335
1.66	-4.724
1.231	0.389
1.756	2.739
0.476	-10.733
0.68	-7.953
1.689	0.572
5.283	13.906
-1.418	-7.64
-0.18	-10.844
2.341	-4.267
-0.602	-9.929
0.822	1.683
-4.409	-6.427
2.061	6.306
1.478	3.615
2.544	-4.885
2.686	3.142
4.791	4.507
1.804	1.372
-3.994	-13.589
1.582	-4.863
-1.476	-17.449
-1.467	-14.442
4.111	11.307
1.183	12.542
0.81	-7.217
-0.9	-6.289
2.789	0.517
-1.23	-18.222
0.776	-9.306
3.269	12.316
-0.09	-9.662
-1.574	-3.476
-0.134	-2.904
3.137	-1.224
-0.996	-5.446
3.862	0.823
0.547	-2.037
1.066	6.098
-3.259	-1.626
1.382	17.39
0.106	-5.473
-1.434	-11.292
0.11	-2.62
4.162	8.446
-0.54	-3.313
-0.07	4.63
0.517	-5.35
3.282	8.1
3.658	10.633
-0.438	3.632
1.514	5.287
-1.221	-2.012
3.794	14.867
-1.814	-0.118
2.759	-4.738
0.434	-4.385
3.696	10.561
1.861	-0.179
1.355	3.337
0.949	-5.088
1.579	0.972
0.122	-6.962
-0.649	-15.94
-2.191	-7.498
1.614	-5.704
-1.427	1.47
-0.296	0.662
4.334	17.84
-0.411	-5.37
-1.519	-7.257
2.847	4.825
2.387	7.362
2.032	6.284
4.198	-2.332
