V1	V2
3.871	3.117
2.337	8.766
0.303	-0.796
3.754	7.97
1.166	7.37
2.962	-3.639
-0.724	-4.049
-1.116	-10.432
3.21	5.377
2.565	3.211
3.178	3.861
-0.204	-2.131
-0.436	-7.797
5.054	19.993
2.052	12.718
1.621	9.078
1.447	-5.644
2.014	12.577
3.53	11.683
-0.284	-5.671
2.376	5.274
-3.393	-24.81
0.338	0.249
-0.916	7.883
1.386	12.668
-0.118	-3.209
4.03	13.481
5.632	6.289
-1.763	-0.224
-0.187	1.828
-1.887	-3.756
3.33	9.034
2.075	-0.698
1.779	9.33
1.207	-2.883
-0.73	6.338
3.495	-1.816
2.001	-2.666
0.976	-10.017
2.603	6.195
-0.142	11.87
1.364	2.539
1.286	3.195
1.821	14.968
1.518	1.831
3.163	4.201
4.658	17.578
2.558	3.133
0.373	3.642
-0.311	5.726
1.593	11.98
-1.133	0.18
1.156	-1.064
3.492	12.207
-0.139	11.849
2.099	-2.586
-1.47	-7.479
3.833	-1.587
2.058	0.712
-1.639	-10.881
-2.332	-9.27
0.152	3.226
0.502	11.55
1.849	11.274
-0.278	-3.488
0.459	-3.392
2.387	16.867
3.083	2.513
2.448	2.017
-1.075	-8.306
2.894	10.771
2.001	5.891
4.582	11.61
-0.856	-8.959
2.368	-2.189
-4.917	-15.476
0.792	-1.649
2.845	8.55
-1.194	-3.296
4.911	15.537
1.561	-0.787
-2.501	-11.803
3.71	3.261
-2.363	-7.774
4.323	10.162
4.475	15.055
0.362	-3.371
4.117	9.251
3.666	5.828
0.67	-6.125
0.395	5.318
-0.8	3.902
1.134	-1.507
-2.548	-23.404
-1.991	-6.011
0.86	8.648
-2.492	-14.768
2.09	4.048
1.423	6.082
-0.309	-2.37
-0.512	-9.865
1.827	16.127
-4.111	-9.223
1.411	-4.129
-0.579	4.889
0.569	2.77
2.484	8.291
3.866	0.914
2.137	2.916
1.418	8.63
-1.169	-6.238
1.141	11.597
2.502	-0.615
-1.184	-2.425
1.611	13.961
0.892	-6.969
3.786	5.071
-0.666	-7.075
-2.171	3.292
2.395	1.329
-3.184	-12.438
2.677	6.334
2.92	4.991
-6.658	-16.5
2.583	9.653
5.915	16.043
-0.36	-1.542
3.359	10.94
-0.63	3.545
0.34	9.906
5.643	22.58
-2.324	-7.029
2.222	-1.022
2.654	11.205
1.14	-6.166
-1.712	-1.062
2.254	1.396
3.05	-0.064
-2.138	-20.127
0.08	-2.975
3.226	6.526
2.415	-3.719
2.073	2.452
2.078	8.522
0.074	0.191
7.281	20.175
0.002	-3.059
-2.237	3.664
-0.357	-7.43
1.974	3.955
2.412	-7.42
0.13	-0.38
-1.332	-1.692
-1.726	-6.197
2.269	6.595
2.364	-1.608
-2.162	-3.679
2.258	14.742
1.996	-3.743
-1.27	-9.5
1.201	-2.984
1.472	-0.993
2.372	11.998
0.741	-3.464
2.104	5.171
-0.926	-5.353
4.544	15.291
-0.577	-0.631
1.551	-0.55
-2.123	-14.396
-0.146	3.84
3.336	4.302
1.209	-5.001
3.022	8.137
2.542	15.41
-0.617	7.399
-1.07	7.474
-0.17	-7.156
2.084	9.986
-0.066	-12.73
-4.608	-4.663
-0.834	-5.804
2.562	6.382
2.561	-0.941
4.126	4.855
5.071	10.423
1.292	-1.609
-0.334	-10.943
0.976	-2.219
-0.641	0.095
-0.745	-7.198
3.105	8.538
1.032	7.088
2.748	-0.938
6.579	25.303
2.619	1.605
-3.575	-8.883
2.248	5.974
0.358	-12.785
3.791	5.056
0.004	-4.32
2.139	9.359
3.175	-1.341
1.106	-10.458
-1.883	-0.843
1.116	-6.722
1.993	7.739
-2.681	-13.502
-0.655	-8.592
0.742	-6.168
1.434	-6.092
-0.144	-6.503
-1.024	-12.592
-1.292	-9.152
4.337	18.235
2.634	-0.56
-1.602	-8.848
-1.493	-0.535
1.712	-2.152
-2.711	-18.461
3.435	15.017
1.927	10.562
3.722	19.659
2.04	-2.232
1.49	3.276
-1.627	-14.264
1.023	4.9
1.142	2.594
3.437	16.121
2.179	10.068
0.729	-2.562
2.264	0.583
1.416	-0.353
-1.282	1.438
1.019	-1.652
-2.046	-11.855
-1.984	-11.437
5.299	6.12
2.45	2.874
4.73	11.029
-0.98	-11.262
0.849	-6.689
0.732	0.644
3.597	5.35
2.393	-4.398
-0.883	3.84
-0.228	-7.199
-1.55	-7.693
1.472	3.531
2.82	-3.634
1.102	-4.671
0.783	2.167
1.784	7.791
1.1	9.752
4.803	17.319
0.94	-2.135
0.827	0.065
0.565	-5.233
2.213	2.3
0.151	1.716
1.695	0.126
-1.641	-2.226
-1.892	-8.799
0.376	-0.887
1.146	-1.109
2.557	2.631
-0.093	-3.351
0.412	-6.726
-0.395	2.772
-2.054	-9.473
-3.16	0.736
1.023	-0.999
2.921	5.287
0.632	-1.644
0.74	-0.707
-2.633	-5.185
2.372	6.594
3.041	-13.853
1.165	-2.883
2.933	1.725
3.578	5.748
1.224	8.718
0.74	7.193
-2.599	-11.547
-0.571	-4.424
-0.446	-7.153
1.465	0.533
1.21	0.636
1.966	6.085
1.771	9.388
-1.437	-10.402
0.743	0.133
0.551	-6.698
1.708	7.624
3.909	6.473
-1.624	7.413
2.309	11.49
1.291	-5.422
1.569	5.325
2.987	5.247
