V1	V2
-0.952	-12.241
1.667	0.25
1.709	-1.957
1.043	2.978
2.742	2.572
-1.762	-4.493
1.925	6.385
0.134	-1.258
-0.855	2.663
1.629	2.16
-0.383	-12.345
2.036	21.095
-2.876	-6.513
1.047	-4.626
-0.142	3.971
-3.315	-11.139
2.789	10.683
0.101	-14.114
-2.216	-0.565
-0.006	-8.103
-1.166	5.131
0.108	-7.105
-0.327	-2.602
3.869	9.567
2.227	3.373
-0.369	-3.547
0.32	-2.329
-1.423	-4.352
3.876	8.424
0.433	-6.049
4.126	-1.536
1.431	1.031
-0.322	-3.056
2.161	-1.831
1.728	7.417
2.509	6.455
-3.636	-15.314
-2.657	-12.836
2.084	5.604
2.188	-1.921
-1.761	5.863
-0.427	-1.815
-0.612	-6.292
2.585	0.711
2.321	-3.342
-1.943	0.577
-0.732	-12.605
4.961	23.579
-0.252	-8.992
6.195	8.977
-1.028	-5.624
0.503	-14.186
-1.718	-12.463
-0.157	6.519
-0.059	3.535
-0.28	-7.163
-1.454	-8.609
1.742	-0.791
1.542	0.184
-1.042	-6.626
2.084	11.413
-2.582	-5.171
0.36	-8.987
-1.153	-2.647
1.075	2.042
0.607	3.685
-0.922	-2.701
0.282	0.59
-1.417	-4.682
-0.962	-5.719
0.047	-0.227
-2.532	-12.103
5.569	17.943
1.802	-0.225
1.002	3.11
3.068	13.392
1.825	6.15
2.615	6.522
-0.429	3.927
-0.298	-7.722
2.638	4.11
1.519	-2.801
2.3	-3.42
-0.072	1.054
1.808	5.167
2.465	5.156
3.278	6.205
1.527	1.794
2.355	12.364
4.38	9.036
1.617	-0.189
-1.582	-15.412
2.2	-1.121
-2.591	-5.052
0.993	-5.261
-1	-7.063
4.638	10.81
-1.907	-11.334
1.759	3.212
1.016	-6.083
-2.001	-10.754
-1.661	-14.617
2.92	-4.476
0.437	-4.859
0.009	-11.876
-0.22	-2.965
-0.113	0.098
1.802	7.447
-0.365	0.717
1.739	0.984
1.701	11.341
1.626	0.522
1.962	2.028
0.973	-0.185
-1.945	-4.526
-1.1	-1.078
2.854	-4.955
-0.242	-7.727
2.568	1.054
-2.893	-1.209
2.034	10.788
-2.236	-2.532
3.064	3.977
1.77	0.316
0.237	-3.985
0.85	8.712
-1.165	-8.048
-1.012	-2.448
-2.711	-4.536
4.649	16.696
0.826	-1.312
0.938	-0.533
1.947	3.185
1.972	0.59
-2.65	-16.729
2.276	6.467
5.317	1.195
0.209	1.815
-4.64	-17.042
1.063	-2.755
-2.305	-6.929
-0.332	-0.021
0.869	5.652
1.636	1.662
3.759	5.948
-0.036	-10.578
-2.115	-2.572
2.832	-0.118
2.315	-2.397
-0.65	-1.178
2.487	8.038
1.634	3.504
2.138	3.545
2.744	1.315
-2.44	2.279
2.871	14.485
-0.873	-6.83
3.223	6.577
1.861	5.272
-0.48	2.045
2.801	1.304
2.823	10.25
1.588	6.458
0.41	9.447
-1.381	-4.651
2.327	5.4
-3.027	-13
2.316	6.615
1.712	0.509
-1.988	-1.885
3.283	13.033
1.935	1.529
-0.371	0.456
2.661	-3.708
3.68	21.266
-0.865	0.14
0.117	-10.51
-0.314	0.693
-1.514	-5.55
-2.556	-6.457
4.241	18.077
-1.608	-8.818
-1.998	-5.076
2.64	-2.168
2.134	10.173
3.037	13.4
-1.525	-10.563
4.678	4.046
4.17	10.076
0.686	-5.627
2.763	1.644
1.675	10.547
1.302	-0.149
0.854	10.813
0.967	6.587
1.703	4.715
-1.737	-4.247
1.154	13.554
3.438	9.4
1.947	9.404
-0.393	7.886
2.432	6.176
3.905	8.315
0.941	-4.881
2.792	-2.036
0.527	2.315
0.323	-0.023
0.342	-1.193
-2.834	-21.039
-2.063	-3.526
-0.349	-5.917
0.868	-0.485
-3.777	-11.635
1.493	12.443
1.173	-0.026
0.88	-0.336
1.586	7.682
2.864	8.333
0.79	2.416
4.298	3.673
-3.438	-13.297
3.385	7.049
0.762	-8.238
2.22	6.22
-0.775	1.536
0.165	-11.829
-0.46	-7.265
2.262	8.478
3.731	19.5
-2.208	-13.052
1.53	-5.792
0.925	1.13
-0.59	-2.948
1.596	-3.143
3.491	14.36
-1.049	-8.34
1.399	0.153
